,root_id,upstream_lowsalt_2Ns,lowsalt_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_lowsalt_input,avg_upstream_synapses
124,720575940626256765,1,10,1,GABA,left,1146.0,117.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.8726003490401396,10.0
125,720575940626375164,1,30,1,,left,366.0,0.0,1,0,30,0,30,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,8.19672131147541,30.0
126,720575940626456081,2,60,1,ACH,left,418.0,1341.0,0,2,0,60,-60,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,14.354066985645932,30.0
127,720575940626972056,1,41,1,GABA,right,245.0,614.0,0,1,0,41,-41,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,16.73469387755102,41.0
128,720575940627113544,2,23,1,ACH,left,596.0,469.0,0,2,0,23,-23,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.859060402684564,11.5
129,720575940627402568,2,63,1,ACH,right,108.0,285.0,0,2,0,63,-63,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,58.333333333333336,31.5
130,720575940627429907,1,11,1,GLUT,right,1148.0,1347.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9581881533101044,11.0
131,720575940627438906,2,53,1,,right,99.0,142.0,0,2,0,53,-53,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,53.535353535353536,26.5
132,720575940627444490,1,14,1,GABA,left,990.0,729.0,1,0,14,0,14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.4141414141414141,14.0
133,720575940627702288,1,10,1,ACH,left,190.0,316.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.263157894736842,10.0
134,720575940627812168,1,69,1,ACH,left,1995.0,299.0,0,1,0,69,-69,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.4586466165413534,69.0
135,720575940627814728,2,58,1,ACH,left,2088.0,1042.0,0,2,0,58,-58,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.7777777777777777,29.0
